plan_attributes_PUF-2
StandardComponentId,PlanMarketingName,URLForSummaryofBenefitsCoverage
21525FL0010014,Silver Simple Chronic Care CKM | with AdventHealth,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001001400.pdf
21525FL0010015,Silver Simple Diabetes | with AdventHealth,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001001500.pdf
21525FL0010016,Silver Simple PCP Saver | with AdventHealth,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001001600.pdf
21525FL0010017,Silver Simple Women's Health with Menopause Benefits,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001001700.pdf
21525FL0010020,Gold Classic Standard | with AdventHealth,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001002000.pdf
21525FL0010022,Gold Elite Saver Plus | with AdventHealth,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001002200.pdf
21525FL0010023,Gold Simple | with AdventHealth,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL001002300.pdf
21525FL0020008,Silver Elite,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL002000800.pdf
21525FL0020011,Silver Simple Diabetes,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL002001100.pdf
21525FL0020012,Silver Simple PCP Saver,https://d3ul0st9g52g6o.cloudfront.net/2026/FL/sbc/2026_21525FL002001200.pdf
30252FL0070001,myBlue Bronze 1601 (3 PCP Visits for $0 then $25 / $75 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1601.pdf
30252FL0070009,myBlue Gold 1605 ($0 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1605.pdf
30252FL0070022,myBlue Silver 2010 (Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2010.pdf
30252FL0070023,myBlue Gold 2011 ($0 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2011.pdf
30252FL0070025,myBlue Bronze 2013 (3 PCP Visits for $0 then $5 / $75 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2013.pdf
30252FL0070027,myBlue Platinum 2015 ($0 Deductible / $0 Labs / $15 PCP Visits / $25 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2015.pdf
30252FL0070028,myBlue Gold 2016 ($0 Deductible / $25 PCP Visits / $60 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2016.pdf
30252FL0070031,myBlue Bronze 2129 ($35 PCP Visits / $75 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2129.pdf
30252FL0070033,myBlue Bronze 2149 ($35 PCP Visits / $75 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2149.pdf
30252FL0070035,myBlue Silver 2237 ($60 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2237.pdf
30252FL0070039,myBlue Bronze 2219 ($75 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2219.pdf
30252FL0070041,myBlue Bronze 2286 ($75 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2286.pdf
30252FL0070044,myBlue Bronze 2312S ($50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2312S.pdf
30252FL0070045,myBlue Bronze 2322S ($50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2322S.pdf
30252FL0070053,myBlue Silver 2313S ($40 PCP Visits / $80 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2313S.pdf
30252FL0070054,myBlue Silver 2323S ($40 PCP Visits / $80 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2323S.pdf
30252FL0070055,myBlue Gold 2314S ($30 PCP Visits / $60 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2314S.pdf
30252FL0070056,myBlue Gold 2325S ($30 PCP Visits / $60 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2325S.pdf
30252FL0070058,myBlue Platinum 2324S ($0 Deductible / $10 PCP Visits / $20 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2324S.pdf
30252FL0070061,myBlue Silver 26M03-02 ($0 Primary Care Visits with Select Providers / $5 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/26M03-02.pdf
30252FL0070062,myBlue Silver 26M02-04 ($5 PCP Visits / $5 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/26M02-04.pdf
30252FL0070063,myBlue Silver 26M06-03 ($5 PCP Visits / $5 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/26M06-03.pdf
30252FL0070065,myBlue Bronze 26M01-23 (Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/26M01-23.pdf
30252FL0070066,myBlue Bronze 26M02-24 (Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/26M02-24.pdf
30252FL0070070,myBlue Connected Care Silver 24M03-70 ($0 Primary Care Visits with Select Providers / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M03-70.pdf
30252FL0070074,myBlue Gold 24M05-74 ($0 Deductible / $25 PCP Visits / $60 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M05-74.pdf
30252FL0070075,myBlue Platinum 24M05-75 ($0 Deductible / $0 Labs / $15 PCP Visits / $25 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M05-75.pdf
30252FL0070076,myBlue Silver 24M06-76 ($50 PCP Visits / $15 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M06-76.pdf
30252FL0070078,myBlue Silver 24M02-78 ($50 PCP Visits / $20 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M02-78.pdf
30252FL0070100,myBlue Platinum 24M05-00S ($0 Deductible / $10 PCP Visits / $20 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24M05-00S.pdf
30252FL0070101,myBlue Silver 25M03-01 ($0 Primary Care Visits with Select Providers / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/25M03-01.pdf
30252FL0070102,myBlue Silver 25M06-02 ($0 Labs / $50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/25M06-02.pdf
30252FL0070103,myBlue Silver 25M02-03 ($0 Labs / $50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/25M02-03.pdf
30252FL0140002,BlueCare Silver 24K01-02 ($10 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-02.pdf
30252FL0140003,BlueCare Bronze 24K01-03 (3 PCP Visits for $0 then $55 / $70 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-03.pdf
30252FL0140004,BlueCare Platinum 24K01-04 ($0 Labs / $15 PCP Visits / $35 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-04.pdf
30252FL0140005,BlueCare Bronze 24K01-05 (Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-05.pdf
30252FL0140006,BlueCare Silver 24K01-06 ($50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-06.pdf
30252FL0140007,BlueCare Platinum 24K01-07 ($0 Deductible / $0 Labs / $15 PCP Visits / $25 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-07.pdf
30252FL0140008,BlueCare Gold 24K01-08 ($0 Deductible / $15 PCP Visits / $75 Specialist Visits / $20 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-08.pdf
30252FL0140009,BlueCare Bronze (HSA) 24K01-09 (Rewards / $4 Condition Care Rx),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-09.pdf
30252FL0140010,BlueCare Gold 24K01-10 ($40 PCP Visits / $75 Specialist Visits / $15 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K01-10.pdf
30252FL0140015,BlueCare Platinum 24K02-15 ($0 Deductible / $0 Labs / $15 PCP Visits / $25 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24K02-15.pdf
